"BBRefName","BBRefLink","BBRefID","BBRefBirthDate"
"Rafael Araújo","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/araujra01.html","araujra01",1980-08-12
"Robert Archibald","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/archiro01.html","archiro01",1980-03-29
"Ryan Arcidiacono","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/arcidry01.html","arcidry01",1994-03-26
"Gilbert Arenas","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/arenagi01.html","arenagi01",1982-01-06
"Trevor Ariza","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/arizatr01.html","arizatr01",1985-06-30
"B.J. Armstrong","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/armstbj01.html","armstbj01",1967-09-09
"Brandon Armstrong","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/armstbr01.html","armstbr01",1980-06-16
"Darrell Armstrong","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/armstda01.html","armstda01",1968-06-22
"Hilton Armstrong","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/armsthi01.html","armsthi01",1984-11-11
"Carlos Arroyo","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/arroyca01.html","arroyca01",1979-07-30
"Metta World Peace","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/artesro01.html","artesro01",1979-11-13
"Darrell Arthur","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/arthuda01.html","arthuda01",1988-03-25
"Jamel Artis","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/artisja01.html","artisja01",1993-01-12
"Ömer Aşık","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/asikom01.html","asikom01",1986-07-04
"Vincent Askew","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/askewvi01.html","askewvi01",1966-02-28
"Keith Askins","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/askinke01.html","askinke01",1967-12-15
"Chucky Atkins","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/atkinch01.html","atkinch01",1974-08-14
"Stacey Augmon","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/augmost01.html","augmost01",1968-08-01
"D.J. Augustin","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/augusdj01.html","augusdj01",1987-11-10
"James Augustine","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/augusja01.html","augusja01",1984-02-27
"Isaac Austin","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/austiis01.html","austiis01",1969-08-18
"Deni Avdija","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/avdijde01.html","avdijde01",2001-01-03
"Anthony Avent","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/aventan01.html","aventan01",1969-10-18
"William Avery","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/averywi01.html","averywi01",1979-08-08
"Gustavo Ayón","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/ayongu01.html","ayongu01",1985-04-01
