"draft_year","pick","player","draft_age","draft_age2","pick_group","year_group","draft_team","make_nba","nba_seasons","player_id","season","poss","mp","raptor_offense","raptor_defense","raptor_total","war_total","war_reg_season","war_playoffs"
"1990",16,"Terry Mills",22.5397260273973,22,"11-18","90's","DEN","Yes",11,"millste01",2000,213,113,-5.173577307,-1.95351202,-7.127089327,-0.258702548,-0.258702548,0
"1990",16,"Terry Mills",22.5397260273973,22,"11-18","90's","DEN","Yes",11,"millste01",1998,52,29,-3.238894592,-1.363411213,-4.602305805,-0.027523693,-0.027523693,0
"1990",16,"Terry Mills",22.5397260273973,22,"11-18","90's","DEN","Yes",11,"millste01",1999,3861,1919,-0.237493298,-0.388080791,-0.625574089,2.106925439,1.870983709,0.235941731
"1990",16,"Terry Mills",22.5397260273973,22,"11-18","90's","DEN","Yes",11,"millste01",1995,3144,1704,-0.294288303,0.196758457,-0.097529846,2.31261304,2.307483296,0.005129744
"1990",16,"Terry Mills",22.5397260273973,22,"11-18","90's","DEN","Yes",11,"millste01",1994,4937,2514,-0.521852671,-1.150017049,-1.67186972,1.384637925,1.384637925,0
"1990",16,"Terry Mills",22.5397260273973,22,"11-18","90's","DEN","Yes",11,"millste01",1991,3697,1791,-0.759642912,-0.764506938,-1.524149851,1.111272913,1.241961605,-0.130688693
"1990",16,"Terry Mills",22.5397260273973,22,"11-18","90's","DEN","Yes",11,"millste01",1992,4287,2183,-1.597023715,-0.63261957,-2.229643285,0.581085411,0.581085411,0
"1990",16,"Terry Mills",22.5397260273973,22,"11-18","90's","DEN","Yes",11,"millste01",1997,1468,793,-3.010547052,-0.581926653,-3.592473705,-0.346293347,-0.338400426,-0.007892921
"1990",17,"Jerrod Mustaf",20.6849315068493,20,"11-18","90's","NYK","Yes",4,"mustaje01",1990,1695,847,-4.281893649,-1.529171279,-5.811064928,-1.324573436,-1.434690413,0.110116977
"1990",17,"Jerrod Mustaf",20.6849315068493,20,"11-18","90's","NYK","Yes",4,"mustaje01",1991,1142,545,-3.0272642,0.037821681,-2.989442519,-0.066694036,-0.066694036,0
"1990",17,"Jerrod Mustaf",20.6849315068493,20,"11-18","90's","NYK","Yes",4,"mustaje01",1993,399,196,-5.975094379,-1.361350021,-7.3364444,-0.460193645,-0.460193645,0
"1990",17,"Jerrod Mustaf",20.6849315068493,20,"11-18","90's","NYK","Yes",4,"mustaje01",1992,727,346,-3.874122166,0.551490537,-3.322631629,-0.100437793,-0.114847501,0.014409708
"1990",18,"Duane Causwell",22.0958904109589,22,"11-18","90's","SAC","Yes",11,"causwdu01",1998,279,157,-6.001353775,-0.810604551,-6.811958326,-0.32613652,-0.37984329,0.05370677
"1990",18,"Duane Causwell",22.0958904109589,22,"11-18","90's","SAC","Yes",11,"causwdu01",1994,1595,820,-3.758077175,2.249301864,-1.50877531,0.521990698,0.521990698,0
